index,listing_id,num_rooms,layout_type,metro,time_to_the_metro,to_the_metro,address,area_m2,living_area,floor,max_floor,building_type,parking,price,deposit,utilities,rental_duration,Prepayment,description,renovation,balconies,loggias,windows,bathroom_unsepar,bathroom_separ,children_pets_allowed,additional_info,number_options,housing_complex,ceiling_height_m,pass_elevator,cargo_elevator,trash_chute,rent_price_per_metr,near_station
1459,274214538,1.0,0,71,5.0,0,521,39.0,23.4,17,17,3,1,38000,40000.0,0,0,1.0,48,1,1,0,0,1,0,3,63,6.0,2,2.64,2,1,0,974.0,0
1460,249938860,1.0,0,69,6.0,0,587,37.7,17.0,2,17,3,2,38000,38000.0,0,0,1.0,44,1,0,0,3,1,0,3,7,9.0,2,2.64,1,1,0,1008.0,0
1461,275003435,1.0,0,71,6.0,0,521,38.0,20.0,17,17,3,1,38000,45000.0,0,1,1.0,148,0,1,0,0,0,0,3,165,7.0,2,2.64,1,0,0,1000.0,0
1462,274539341,1.0,0,71,18.0,0,491,35.0,18.0,6,25,0,2,39000,39000.0,0,0,1.0,22,1,1,0,2,1,0,0,150,8.0,81,3.0,2,1,0,1114.0,1
1463,273346613,1.0,0,69,6.0,0,503,38.0,22.8,1,17,2,3,39500,39500.0,1,0,1.0,60,1,0,0,3,1,0,1,78,2.0,2,2.64,0,0,2,1039.0,0
1464,162124882,1.0,0,70,8.0,0,504,40.0,19.0,11,24,3,1,40000,40000.0,0,0,1.0,68,1,0,1,3,1,0,1,10,7.0,2,2.64,1,1,2,1000.0,0
1465,272694549,2.0,2,70,10.0,0,584,58.0,32.0,17,22,3,1,40000,40000.0,0,0,1.0,40,2,1,0,2,0,1,1,138,6.0,2,2.64,3,0,0,690.0,0
1466,274940131,1.0,0,69,10.0,0,552,40.0,20.0,10,17,5,1,40000,40000.0,0,0,1.0,33,0,0,1,2,1,0,3,10,7.0,2,2.64,2,0,0,1000.0,0
1467,274292195,1.0,0,70,7.0,0,501,45.0,22.0,16,25,0,1,40000,40000.0,0,0,1.0,19,2,1,0,0,1,0,3,72,7.0,2,2.64,3,0,0,889.0,0
1468,274820867,1.0,0,69,1.0,0,547,40.0,20.0,18,22,3,1,40000,40000.0,0,0,1.0,73,2,1,0,3,0,1,3,10,7.0,2,2.64,3,0,0,1000.0,0
1469,274856245,1.0,0,70,8.0,0,588,50.0,30.0,8,20,0,1,40000,40000.0,0,0,1.0,8,1,0,1,0,0,1,3,10,7.0,2,2.64,3,0,0,800.0,0
1470,271308940,1.0,0,69,5.0,0,479,33.0,25.0,7,24,0,2,40000,40000.0,0,0,1.0,308,1,0,0,2,1,0,2,14,10.0,2,2.64,3,3,0,1212.0,0
1471,262455754,2.0,0,70,5.0,0,589,58.0,34.0,10,17,3,2,40000,40000.0,0,0,1.0,113,2,0,1,1,0,1,1,10,7.0,2,2.64,1,1,0,690.0,0
1472,274976410,2.0,2,70,3.0,0,530,54.0,32.0,10,17,3,2,41000,30000.0,0,0,1.0,54,2,1,0,3,0,1,1,113,6.0,2,2.64,1,1,0,759.0,0
1473,258460008,2.0,2,70,8.0,0,490,54.0,32.0,15,17,3,1,42000,42000.0,0,0,1.0,84,2,0,1,3,0,1,1,67,6.0,2,2.64,2,1,0,778.0,0
1474,274896428,2.0,2,69,3.0,0,563,56.0,35.0,10,12,3,1,42000,21000.0,0,0,1.0,119,1,0,1,2,0,1,1,63,6.0,2,2.64,2,0,0,750.0,0
1475,274823630,2.0,2,71,18.0,0,514,60.0,30.0,6,26,2,2,42000,42000.0,0,0,1.0,34,2,0,2,2,0,1,1,26,7.0,81,2.64,2,1,0,700.0,1
1476,274536148,2.0,2,70,11.0,0,590,54.0,34.0,7,17,3,1,42000,42000.0,0,0,1.0,16,2,1,0,0,0,1,1,10,7.0,2,2.64,1,1,0,778.0,0
1477,274058442,1.0,0,69,7.0,0,480,50.0,20.0,16,25,0,2,43000,43000.0,0,0,1.0,92,1,1,0,2,1,0,3,7,9.0,80,2.8,1,2,2,860.0,0
1478,274290979,2.0,2,71,5.0,0,515,61.0,35.0,8,17,3,1,43000,30000.0,0,0,1.0,74,2,1,0,2,0,1,1,10,7.0,2,2.64,2,0,0,705.0,0
1479,274706181,2.0,0,70,11.0,0,583,59.0,35.4,15,16,2,3,44000,44000.0,1,0,1.0,51,2,1,0,2,0,1,0,78,2.0,2,2.64,0,0,2,746.0,0
1480,274601528,2.0,1,70,10.0,0,519,51.4,35.0,3,25,0,1,45000,45000.0,0,0,1.0,70,1,0,1,0,1,0,1,68,4.0,83,2.64,3,0,0,875.0,0
1481,273914929,2.0,2,69,10.0,0,591,52.0,31.0,11,14,3,1,45000,45000.0,1,0,1.0,32,2,1,0,0,0,0,1,18,5.0,2,2.64,1,0,2,865.0,0
1482,273869873,2.0,2,69,10.0,0,591,52.0,33.0,12,14,3,1,45000,45000.0,1,0,1.0,46,2,1,0,0,0,0,1,36,6.0,2,2.65,2,0,2,865.0,0
1483,269773592,2.0,2,71,6.0,0,592,55.0,31.0,9,17,3,1,45000,45000.0,0,0,1.0,46,2,1,0,2,0,1,0,14,10.0,2,2.64,2,0,0,818.0,0
1484,274684647,1.0,0,73,17.0,0,593,42.5,20.0,2,9,0,1,36800,36800.0,1,0,1.0,141,1,0,0,3,1,0,0,166,1.0,2,2.5,0,1,2,866.0,1
1485,274908335,1.0,0,74,20.0,0,594,35.8,10.1,14,25,3,1,37000,37000.0,1,0,1.0,140,1,0,0,2,1,0,1,83,7.0,87,2.7,2,2,2,1034.0,1
1486,265212487,1.0,0,73,4.0,0,595,35.0,20.0,9,16,3,1,38000,38000.0,0,0,1.0,64,1,0,1,2,1,0,0,70,8.0,2,2.48,2,0,0,1086.0,0
1487,274943190,1.0,0,75,15.0,0,596,40.0,22.0,13,25,2,2,40000,40000.0,0,0,1.0,84,1,0,1,2,1,0,0,14,10.0,88,2.64,0,0,0,1000.0,0
1488,274709973,2.0,1,76,8.0,0,597,42.0,30.0,5,5,3,1,45000,45000.0,0,0,1.0,91,1,1,0,1,1,0,0,70,8.0,2,2.64,0,1,0,1071.0,0
1489,274815845,2.0,2,73,8.0,0,598,47.1,28.3,9,12,3,1,36000,36000.0,0,0,1.0,143,2,0,1,2,0,1,1,67,6.0,2,2.5,1,0,2,764.0,0
1490,274815873,1.0,0,74,20.0,0,599,21.5,11.0,17,25,3,1,40000,40000.0,0,0,1.0,140,2,0,0,2,1,0,1,26,7.0,87,2.4,2,1,2,1860.0,1
